Name,Artist,Album,Genres,Popularity,Available,Explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,track_href,analysis_url,track_uri,artist_uri,album_uri
Thoughts of a Dying Atheist,['Muse'],Absolution,"['modern rock', 'permanent wave', 'rock']",50,True,False,0.26,0.946,3,-5.387,1,0.061,0.000837,0.0882,0.27,0.425,178.508,187293,4,audio_features,https://api.spotify.com/v1/tracks/7LB6xhGZ0jCbP3PfUDA7yw,https://api.spotify.com/v1/audio-analysis/7LB6xhGZ0jCbP3PfUDA7yw,spotify:track:7LB6xhGZ0jCbP3PfUDA7yw,['spotify:artist:12Chz98pHFMPJEknJQMWvI'],spotify:album:0HcHPBu9aaF1MxOiZmUQTl
Hysteria,['Muse'],Absolution,"['modern rock', 'permanent wave', 'rock']",72,True,False,0.412,0.92,9,-4.852,0,0.0575,0.000456,0.0026,0.11,0.455,93.162,227440,4,audio_features,https://api.spotify.com/v1/tracks/7xyYsOvq5Ec3P4fr6mM9fD,https://api.spotify.com/v1/audio-analysis/7xyYsOvq5Ec3P4fr6mM9fD,spotify:track:7xyYsOvq5Ec3P4fr6mM9fD,['spotify:artist:12Chz98pHFMPJEknJQMWvI'],spotify:album:0HcHPBu9aaF1MxOiZmUQTl
Showbiz,['Muse'],Showbiz,"['modern rock', 'permanent wave', 'rock']",51,True,False,0.236,0.635,2,-7.717,1,0.0565,0.0123,0.216,0.109,0.166,124.785,317000,4,audio_features,https://api.spotify.com/v1/tracks/2sCFFlnYg6Lk75GCcfSXEz,https://api.spotify.com/v1/audio-analysis/2sCFFlnYg6Lk75GCcfSXEz,spotify:track:2sCFFlnYg6Lk75GCcfSXEz,['spotify:artist:12Chz98pHFMPJEknJQMWvI'],spotify:album:6AyUVv7MnxxTuijp4WmrhO
Plug in Baby,['Muse'],Origin of Symmetry,"['modern rock', 'permanent wave', 'rock']",65,True,False,0.408,0.965,2,-4.232,1,0.05,6.94e-06,0.000402,0.11,0.349,136.018,218000,4,audio_features,https://api.spotify.com/v1/tracks/2UKARCqDrhkYDoVR4FN5Wi,https://api.spotify.com/v1/audio-analysis/2UKARCqDrhkYDoVR4FN5Wi,spotify:track:2UKARCqDrhkYDoVR4FN5Wi,['spotify:artist:12Chz98pHFMPJEknJQMWvI'],spotify:album:1Dh27pjT3IEdiRG9Se5uQn
New Born,['Muse'],Origin of Symmetry,"['modern rock', 'permanent wave', 'rock']",58,True,False,0.238,0.932,4,-5.809,1,0.0912,0.00326,0.298,0.114,0.186,150.899,363267,4,audio_features,https://api.spotify.com/v1/tracks/2VrJMuLt2m9HbifGrKWHqk,https://api.spotify.com/v1/audio-analysis/2VrJMuLt2m9HbifGrKWHqk,spotify:track:2VrJMuLt2m9HbifGrKWHqk,['spotify:artist:12Chz98pHFMPJEknJQMWvI'],spotify:album:1Dh27pjT3IEdiRG9Se5uQn
"Mind Eraser, No Chaser",['Them Crooked Vultures'],Them Crooked Vultures,"['alternative metal', 'alternative rock', 'blues rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']",0,True,False,0.245,0.955,11,-3.835,0,0.174,0.00201,8.96e-06,0.215,0.187,150.373,246827,4,audio_features,https://api.spotify.com/v1/tracks/6aGw0paopKJphIdHHmYe7N,https://api.spotify.com/v1/audio-analysis/6aGw0paopKJphIdHHmYe7N,spotify:track:6aGw0paopKJphIdHHmYe7N,['spotify:artist:4zYQWYmtimAEmI6WWEzGfO'],spotify:album:2Tue2cd1zxKZdsVevrH0iS
Elephants,['Them Crooked Vultures'],Them Crooked Vultures,"['alternative metal', 'alternative rock', 'blues rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']",0,True,False,0.221,0.873,10,-4.585,1,0.0745,5.63e-05,0.0838,0.38,0.555,179.607,409773,4,audio_features,https://api.spotify.com/v1/tracks/4l0tBQjxbGoPv0qtzuY0FK,https://api.spotify.com/v1/audio-analysis/4l0tBQjxbGoPv0qtzuY0FK,spotify:track:4l0tBQjxbGoPv0qtzuY0FK,['spotify:artist:4zYQWYmtimAEmI6WWEzGfO'],spotify:album:2Tue2cd1zxKZdsVevrH0iS
Scumbag Blues,['Them Crooked Vultures'],Them Crooked Vultures,"['alternative metal', 'alternative rock', 'blues rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']",0,True,False,0.542,0.821,7,-5.072,1,0.0367,2.55e-05,0.0144,0.102,0.507,112.207,265827,4,audio_features,https://api.spotify.com/v1/tracks/1ocMhwkKWf6LTmDQF1fjWq,https://api.spotify.com/v1/audio-analysis/1ocMhwkKWf6LTmDQF1fjWq,spotify:track:1ocMhwkKWf6LTmDQF1fjWq,['spotify:artist:4zYQWYmtimAEmI6WWEzGfO'],spotify:album:2Tue2cd1zxKZdsVevrH0iS
Better Man,['Pearl Jam'],Vitalogy,"['alternative rock', 'grunge', 'permanent wave', 'rock']",66,True,False,0.445,0.671,2,-7.937,1,0.0387,0.165,1.56e-05,0.0791,0.267,125.712,268587,4,audio_features,https://api.spotify.com/v1/tracks/2B98ljvzqpCVgt5reTHq28,https://api.spotify.com/v1/audio-analysis/2B98ljvzqpCVgt5reTHq28,spotify:track:2B98ljvzqpCVgt5reTHq28,['spotify:artist:1w5Kfo2jwwIPruYS2UWh56'],spotify:album:5pd9B3KQWKshHw4lnsSLNy
Black,['Pearl Jam'],Ten,"['alternative rock', 'grunge', 'permanent wave', 'rock']",73,True,False,0.36,0.684,4,-6.457,0,0.0308,0.323,0.0,0.34,0.2,77.15,342653,4,audio_features,https://api.spotify.com/v1/tracks/5Xak5fmy089t0FYmh3VJiY,https://api.spotify.com/v1/audio-analysis/5Xak5fmy089t0FYmh3VJiY,spotify:track:5Xak5fmy089t0FYmh3VJiY,['spotify:artist:1w5Kfo2jwwIPruYS2UWh56'],spotify:album:5B4PYA7wNN4WdEXdIJu58a
